name,brand,category,price
Cooler Master Q300L,coolermaster,case,349
Corsair 4000D Airflow,corsair,case,599
Fractal Design North,fractal,case,999
Lian Li O11 Dynamic EVO,lianli,case,899
Lian Li O11 Dynamic EVO XL,lianli,case,1599
Lian Li O11 Vision,lianli,case,1699
NZXT H9 Flow,nzxt,case,1099
爱国者 星璨 岚,aigo,case,399
航嘉 暗夜猎手5,huntkey,case,129
ARCTIC Liquid Freezer II,arctic,cooling,649
Corsair iCUE H150i ELITE,corsair,cooling,1299
Deepcool AK620,deepcool,cooling,349
NZXT Kraken 360 RGB,nzxt,cooling,1099
NZXT Kraken Elite 420,nzxt,cooling,1799
Noctua NH-D15 chromax,noctua,cooling,649
ROG RYUJIN III 360,asus,cooling,2499
九州风神 LT720,deepcool,cooling,599
九州风神 玄冰400,deepcool,cooling,79
AMD Ryzen 5 5600,amd,cpu,749
AMD Ryzen 5 7600X,amd,cpu,1499
AMD Ryzen 7 7800X3D,amd,cpu,2699
AMD Ryzen 9 7950X,amd,cpu,3799
AMD Ryzen 9 7950X3D,amd,cpu,4299
AMD Ryzen 9 9900X3D,amd,cpu,4599
AMD Ryzen 9 9950X,amd,cpu,4999
AMD Ryzen 9 9950X3D,amd,cpu,5499
Intel Core i3-14100,intel,cpu,849
Intel Core i5-14600K,intel,cpu,2099
Intel Core i7-14700K,intel,cpu,2999
Intel Core i9-14900K,intel,cpu,3999
Intel Core i9-14900KS,intel,cpu,5999
AMD Radeon RX 6600,amd,gpu,1199
AMD Radeon RX 7800 XT,amd,gpu,3799
AMD Radeon RX 7900 GRE,amd,gpu,4299
AMD Radeon RX 7900 XTX,amd,gpu,7199
NVIDIA RTX 3050,nvidia,gpu,1399
NVIDIA RTX 4060 Ti,nvidia,gpu,2999
NVIDIA RTX 4070 Ti SUPER,nvidia,gpu,5999
NVIDIA RTX 4080 SUPER,nvidia,gpu,7999
NVIDIA RTX 4090,nvidia,gpu,11999
NVIDIA RTX 4090 DUAL,nvidia,gpu,13999
NVIDIA RTX 5080,nvidia,gpu,9999
NVIDIA RTX 5090,nvidia,gpu,18999
NVIDIA RTX 5090D,nvidia,gpu,24999
HyperX Cloud III,hyperx,headset,599
JBL QUANTUM 400,jbl,headset,399
ROG Delta S,asus,headset,1299
罗技 G PRO X 2,logitech,headset,1299
赛睿 Arctis Nova Pro,steelseries,headset,1999
雷柏 VH150,rapoo,headset,59
雷蛇北海巨妖 V3 Pro,razer,headset,1099
Cherry MX 3.0S,cherry,keyboard,449
ROG 游侠 RX,asus,keyboard,649
ROG 龙骑士3,asus,keyboard,1499
Wooting 60HE,wooting,keyboard,1299
罗技 G Pro X,logitech,keyboard,899
雷柏 V500,rapoo,keyboard,129
雷蛇黑寡妇 V4 Pro,razer,keyboard,1299
AOC AG274QX,aoc,monitor,2199
LG 27GP950,lg,monitor,4299
LG 32GS95UE,lg,monitor,9999
三星 Odyssey G8,samsung,monitor,8999
华硕 ROG PG27AQDM,asus,monitor,5499
华硕 ROG Swift PG32UCDM,asus,monitor,11999
小米显示器 27寸 2K,xiaomi,monitor,1299
戴尔 U2723QE,dell,monitor,3499
红米 24寸,xiaomi,monitor,549
红米 27寸 2K,xiaomi,monitor,999
ASRock B760M Steel Legend,asrock,motherboard,1099
ASUS TUF GAMING B760-PLUS,asus,motherboard,1399
GIGABYTE B650 AORUS ELITE,gigabyte,motherboard,1499
MSI MEG X670E GODLIKE,msi,motherboard,6499
MSI PRO B650M-A WIFI,msi,motherboard,1199
ROG CROSSHAIR X870E EXTREME,asus,motherboard,6999
ROG MAXIMUS Z790 EXTREME,asus,motherboard,7999
ROG MAXIMUS Z790 HERO,asus,motherboard,4299
华擎 H610M-HDV,asrock,motherboard,469
微星 A520M-A PRO,msi,motherboard,379
技嘉 X870E AORUS MASTER,gigabyte,motherboard,3499
罗技 G PRO X,logitech,mouse,449
罗技 G PRO X SUPERLIGHT 2,logitech,mouse,1199
罗技 G502 X,logitech,mouse,499
赛睿 Rival 5,steelseries,mouse,269
雷柏 VT350,rapoo,mouse,89
雷蛇毒蝰V3,razer,mouse,399
雷蛇毒蝰V3 Pro,razer,mouse,999
Corsair AX1600i,corsair,psu,3599
Corsair RM1000x SHIFT,corsair,psu,1299
Seasonic PRIME TX-1000,seasonic,psu,1799
Seasonic PRIME TX-1600,seasonic,psu,3199
Thermaltake Toughpower GF1,thermaltake,psu,599
be quiet! Dark Power 13,bequiet,psu,1499
振华 铜皇 550W,superflower,psu,269
海韵 FOCUS GX-850,seasonic,psu,899
鑫谷 GM850,sigo,psu,599
ADATA XPG Lancer RGB,adata,ram,549
CORSAIR Dominator Platinum,corsair,ram,2099
CORSAIR Dominator Titanium,corsair,ram,5999
Crucial Pro DDR5,crucial,ram,749
G.SKILL Trident Z5 RGB,gskill,ram,1899
G.SKILL Trident Z5 RGB,gskill,ram,999
Kingston FURY Renegade,kingston,ram,849
TeamGroup T-Force Delta RGB,teamgroup,ram,699
金百达 DDR4 16GB,kingbank,ram,269
金百达 DDR5 32GB,kingbank,ram,499
Crucial P5 Plus,crucial,storage,549
Kingston KC3000,kingston,storage,949
Samsung 990 EVO,samsung,storage,2299
Samsung 990 PRO,samsung,storage,1099
Seagate FireCuda 530,seagate,storage,649
TeamGroup Cardea Z440,teamgroup,storage,899
WD Black SN850X,wd,storage,1999
WD Black SN850X,wd,storage,999
致钛 5000,zhitai,storage,279
致钛 Ti600,zhitai,storage,899
